时间,商品名称,库存变化,单笔销量
2026-09-08 18:28:43,JUNGBIN_DIY,初始库存: 5000,0
2026-09-08 20:03:33,JUNGBIN_DIY,5000 -> 4997,3
2026-09-08 20:10:24,JUNGBIN_DIY,4997 -> 4989,8
2026-09-09 08:18:09,JUNGBIN_DIY,4989 -> 4984,5
